date,srad,rain,rhum,tmax,tmin,wvel
1988-01-01,11.59,1,73.98,29.09,20.06,1.03
1988-01-02,10.55,0.26,71.54,29.72,21.08,1.03
1988-01-03,10.84,2.39,74.92,30.51,20.06,0.88
1988-01-04,10.08,5.01,77.34,28.58,19.94,0.93
1988-01-05,9.29,0.3,64.53,29.09,19.49,0.92
1988-01-06,9.11,0.05,65.96,30.23,18.98,0.78
1988-01-07,13.36,0,61.27,29.96,18.7,0.67
1988-01-08,14.69,0,60.2,30.8,18.47,0.63
1988-01-09,15.3,0,58.1,31.54,19.5,0.55
1988-01-10,14.8,0.07,61.38,32.04,20.03,0.65
1988-01-11,13.93,0.26,64.44,30.98,20.28,0.97
1988-01-12,13.75,0.61,63.12,30.73,19.91,0.91
1988-01-13,13.75,0.41,61.32,30.63,20.17,0.99
1988-01-14,16.56,0.39,61.55,30.22,18.93,0.86
1988-01-15,11.38,0.52,59.52,30.41,19.15,0.73
1988-01-16,15.44,0.24,60.28,30.67,18.73,0.69
1988-01-17,14.9,0.15,55.83,30.59,18.56,0.57
1988-01-18,21.46,0.16,57.07,31.29,18.04,0.5
1988-01-19,17.39,0.06,57.38,32.27,19.29,0.47
1988-01-20,16.52,0,50.91,32.05,19.48,0.47
1988-01-21,22.72,0.03,50.21,31.61,17.41,0.49
1988-01-22,14.83,0.18,54.59,30.74,18.39,0.66
1988-01-23,18,0,54.84,30.18,18.94,0.79
1988-01-24,19.26,0.01,53.94,31.14,18,0.56
1988-01-25,21.78,0.31,55.11,31.25,18.59,0.85
1988-01-26,6.62,2.08,72.38,28.22,18.04,1.41
1988-01-27,7.88,0.25,70.45,25.1,17.02,1.72
1988-01-28,9.32,0.07,68.42,26.61,16.38,1.64
1988-01-29,4.54,0.08,65.35,27.55,16.96,1.41
1988-01-30,1.87,0.16,66.56,29.13,17.87,1.12
1988-01-31,9.94,0.12,69.52,28.62,20.02,0.99
1988-02-01,11.12,0.22,64.53,31.93,19.46,0.94
1988-02-02,12.42,0.62,70.56,29.98,20.32,1
1988-02-03,12.82,0.29,66.12,30.19,20.61,1.04
1988-02-04,14.98,0.15,59.31,31.81,19.66,0.98
1988-02-05,17.53,0.74,59.02,30.82,19.51,0.96
1988-02-06,13.68,2.76,67.66,30.24,18.58,0.98
1988-02-07,10.69,0.19,64.3,29.69,18.81,1.17
1988-02-08,13.97,0.24,60.01,30.27,17.46,1.09
1988-02-09,16.6,0.1,59.12,31.12,18.37,1.01
1988-02-10,19.3,0.32,56.53,31.57,18.56,0.82
1988-02-11,18.65,0.36,61.36,30.55,18.55,0.73
1988-02-12,12.74,0.02,68.8,28.92,19.74,0.94
1988-02-13,11.23,0.24,61.28,30.6,19.02,1.11
1988-02-14,7.52,0.86,67.82,29.47,18.85,1.02
1988-02-15,18.61,0.06,58.65,32.39,18.92,0.69
1988-02-16,17.96,0.15,57.29,31.89,19.94,0.96
1988-02-17,17.53,0.04,57.71,32.13,19.54,1.02
1988-02-18,14.47,0,52.06,32.52,19.29,0.69
1988-02-19,22.14,0.01,48.82,33.24,18.02,0.44
1988-02-20,24.37,0,43.81,35.18,19.37,0.27
1988-02-21,19.51,0.19,48.88,34.06,19.54,0.71
1988-02-22,12.6,0.15,55.57,31.72,19.75,1.02
1988-02-23,17.53,0.01,56,29.5,19.84,0.8
1988-02-24,19.37,0.05,57.46,31.71,19.07,0.93
1988-02-25,20.7,0.04,54.09,31.43,19.51,1.06
1988-02-26,12.31,0.12,56.71,30.84,19.11,1.18
1988-02-27,21.92,0,49.95,30.72,18.14,0.91
1988-02-28,25.6,0,44.7,30.89,16.41,0.69
1988-02-29,23.22,0,43.78,31.03,17.09,0.79
1988-03-01,22.72,0,46.65,29.68,17.17,0.9
1988-03-02,22.43,0,46.84,30.78,16.47,0.73
1988-03-03,18,0,52.12,31.9,17.68,0.68
1988-03-04,17.24,0.22,56.64,32.9,18.73,0.63
1988-03-05,16.02,1.27,61.04,31.69,19.98,0.74
1988-03-06,21.6,0,44.27,33.07,19.71,0.68
1988-03-07,26.03,0,43.9,32.64,18.21,0.71
1988-03-08,16.02,0,48.51,32.99,18.59,0.66
1988-03-09,22.9,0,44.11,34.27,18.64,0.44
1988-03-10,22.5,0,42.79,34.54,18.71,0.37
1988-03-11,17.03,0,43,34.42,20.38,0.52
1988-03-12,25.85,0,43.94,34.48,18.54,0.44
1988-03-13,21.28,0,44.49,35.18,19.63,0.29
1988-03-14,23.47,0.83,43.87,36.5,19.75,0.26
1988-03-15,14.29,1.71,55.07,33.14,21.82,0.63
1988-03-16,22.9,0.02,48.08,31.08,20.79,0.76
1988-03-17,18.72,0,50.86,32.4,19.33,0.88
1988-03-18,22.25,0,50.2,33.29,18.88,0.73
1988-03-19,23.62,0,51.51,33.26,19.58,0.94
1988-03-20,15.34,0.09,53.72,31.88,19.99,1.47
1988-03-21,15.66,0.07,57.11,31.89,19.42,1.41
1988-03-22,17.06,0.03,53.99,32.07,19.05,1.34
1988-03-23,22.79,0,46.54,32.14,19,1.21
1988-03-24,25.78,0,46.57,32.63,19.28,1.17
1988-03-25,20.7,0,44.94,32.22,18.82,1.04
1988-03-26,20.23,0,47.4,32.42,18.42,1.03
1988-03-27,18.14,0,52.72,32.75,19.61,1.21
1988-03-28,14.76,0,52.59,33.08,19.91,1.09
1988-03-29,17.89,0,50.08,33.72,19.68,0.83
1988-03-30,22.54,0,47.72,33.53,20.46,0.77
1988-03-31,19.3,0.01,47.36,33.4,19.65,0.83
1988-04-01,17.03,0.15,54.19,33.5,19.55,0.82
1988-04-02,13.5,0.11,50.03,33.89,20.39,0.67
1988-04-03,23.65,0,48.28,34.13,20.78,0.59
1988-04-04,21.31,0,47.54,34.28,20.17,0.6
1988-04-05,13.39,0,50.45,34.18,20.54,0.77
1988-04-06,25.09,0.01,47.85,33.89,20.87,0.73
1988-04-07,24.66,0,43.85,34.36,20.98,0.58
1988-04-08,28.4,0,41.05,34.38,21.19,0.55
1988-04-09,23.18,1.65,47.25,33.58,19.99,0.5
1988-04-10,22.54,3.83,57.63,34.11,20.75,0.33
1988-04-11,20.52,3.05,55.86,33.74,20.24,0.36
1988-04-12,11.2,0.25,57.21,30.53,20.75,0.52
1988-04-13,19.51,0.69,60.87,30.09,19.77,0.72
1988-04-14,17.35,0.6,53.33,33.31,18.03,0.61
1988-04-15,20.27,0,45.65,34.8,20.27,0.56
1988-04-16,23.26,0.03,46.1,35.07,20.95,0.51
1988-04-17,21.46,0.04,51.78,31.39,21.72,0.45
1988-04-18,21.06,0,52.16,32.89,21.64,0.29
1988-04-19,21.92,0.03,43.5,37.02,20.54,0.33
1988-04-20,19.91,0.87,45.8,36.16,22.12,0.33
1988-04-21,22.25,0.89,46.05,35.7,21.39,0.35
1988-04-22,22.57,0,43.6,35.96,21.04,0.41
1988-04-23,26.32,0,42.52,34.49,20.6,0.57
1988-04-24,27.22,0,40.96,34.69,18.45,0.63
1988-04-25,27.4,0,43.7,34.95,19.47,0.49
1988-04-26,21.1,0,42.3,35.55,20.67,0.43
1988-04-27,22.43,0,41.81,35.74,20.4,0.54
1988-04-28,21.28,0,44.69,34.91,21.35,0.69
1988-04-29,21.46,0,46.44,35.17,21.23,0.71
1988-04-30,20.2,0.01,42.73,36.28,21.01,0.51
1988-05-01,24.77,0.53,44.11,37.66,21.53,0.37
1988-05-02,22.36,0.13,46.62,36.73,23.93,0.37
1988-05-03,21.42,0.07,59.85,32.24,24.07,0.29
1988-05-04,21.71,0,50.42,33.13,22.24,0.55
1988-05-05,24.91,0,36.29,35.87,21.82,0.72
1988-05-06,19.01,0.03,48.82,33.82,19.67,0.91
1988-05-07,22.97,0,50.27,34.87,21.33,0.88
1988-05-08,27.29,0,35.3,35,19.83,0.61
1988-05-09,23.54,0,35.99,35.41,18.37,0.56
1988-05-10,20.99,0.08,47.54,35.53,21.43,0.69
1988-05-11,23.54,0.34,47.82,34.91,21.51,0.71
1988-05-12,20.59,0,51.18,33.65,22.31,0.71
1988-05-13,19.4,0,43.13,34.5,21.32,0.58
1988-05-14,24.73,0,41.46,35.8,21.37,0.39
1988-05-15,20.27,0.73,55.34,34.09,22.59,0.21
1988-05-16,18.43,1.46,62.47,30.43,21.86,0.34
1988-05-17,17.89,0.79,47.91,35.28,21.13,0.39
1988-05-18,19.55,1.25,52.1,35.82,22.51,0.31
1988-05-19,18.43,3.16,55.23,34.38,23.2,0.37
1988-05-20,22.72,0.17,59.41,32.9,23.3,0.28
1988-05-21,14.69,0.3,51.82,35.15,22.61,0.48
1988-05-22,18.54,0.15,51.82,34.15,22.4,0.65
1988-05-23,22.1,0.01,50.6,34.57,22.72,0.81
1988-05-24,24.55,0.01,49.86,34.81,22.4,0.73
1988-05-25,20.81,0.04,52.82,35.57,22.79,0.77
1988-05-26,22.1,0.09,57.92,34.74,22.54,0.67
1988-05-27,15.98,1.95,59.38,35.08,22.89,0.45
1988-05-28,15.66,6.41,77.56,28.16,22.07,0.38
1988-05-29,14.15,0.39,78.53,25.62,21.06,0.51
1988-05-30,14.62,0.61,68.33,30.95,20.77,0.71
1988-05-31,20.45,3.71,69.01,32.75,19.76,0.71
1988-06-01,14.98,6.54,69.34,32.91,21.45,0.56
1988-06-02,22.32,3.44,64.66,34.16,20.11,0.51
1988-06-03,15.73,0.09,63.07,32.29,21.31,0.7
1988-06-04,22.21,0.1,68.98,29.89,22.36,0.49
1988-06-05,19.8,8.37,70.75,31.83,21.71,0.31
1988-06-06,17.42,8.36,78.35,27.9,20.59,0.56
1988-06-07,17.86,0.07,66.82,32.12,20.63,0.5
1988-06-08,22.21,0.01,55.54,33.68,20.27,0.52
1988-06-09,12.02,0.57,62.88,30.24,21.91,0.56
1988-06-10,15.91,2.09,71.93,30.8,21.12,0.5
1988-06-11,17.14,1.03,71.21,28.73,21.21,0.39
1988-06-12,15.08,0.81,67.29,31.01,19.93,0.48
1988-06-13,14.11,4.68,68.51,31.97,20.48,0.61
1988-06-14,11.09,5,83.97,28.21,20.38,0.54
1988-06-15,16.16,0.65,60.67,33.56,20.52,0.42
1988-06-16,23.04,7.1,64.33,33.47,20.65,0.39
1988-06-17,23.18,1.11,61.52,32.91,21.21,0.41
1988-06-18,12.96,3.19,62.96,33.03,20.58,0.48
1988-06-19,18.5,2.38,75.55,29.16,21.28,0.48
1988-06-20,12.78,1.81,73.42,29.16,20.28,0.58
1988-06-21,14.4,0.74,66.04,31.64,19.57,0.35
1988-06-22,18.86,0.73,74.58,27.84,20.96,0.33
1988-06-23,18.76,0.22,66.15,30.1,19.3,0.49
1988-06-24,7.38,0.12,69.27,29.17,21.01,0.44
1988-06-25,16.24,0,57.78,32.8,21.01,0.54
1988-06-26,25.45,0,54.55,33.78,20.94,0.39
1988-06-27,22.28,0.01,53.12,34,21.29,0.31
1988-06-28,21.35,0.14,51.75,34.72,21.24,0.32
1988-06-29,15.91,0.09,61.89,30.45,22.2,0.4
1988-06-30,22.46,0.24,51.91,34.18,21.11,0.42
1988-07-01,16.31,3.47,68.87,29.58,21.23,0.4
1988-07-02,16.52,7.02,77.47,26.76,20.53,0.29
1988-07-03,20.45,27.13,81.05,28.57,20.35,0.39
1988-07-04,15.08,2.27,78.94,27.19,20.52,0.48
1988-07-05,11.2,0.14,65.48,31.11,20.99,0.78
1988-07-06,23.04,0.51,63.08,31.71,20.56,0.53
1988-07-07,18.79,2.47,67.15,30.42,20.77,0.48
1988-07-08,13.82,1.61,74.34,28.21,19.95,0.56
1988-07-09,16.85,0.45,64.08,32.33,19.21,0.62
1988-07-10,7.88,2.67,76.91,27.39,20.93,0.57
1988-07-11,8.75,2.09,89.6,24.22,20.74,0.6
1988-07-12,10.69,0.19,73.69,30.74,20.41,0.4
1988-07-13,14.65,1.03,80.09,26.52,20.63,0.3
1988-07-14,16.78,0.91,70.49,29.88,21.04,0.52
1988-07-15,10.91,0.04,65.56,31.24,20.99,0.65
1988-07-16,10.48,1.47,65.58,30.55,20.32,0.75
1988-07-17,10.91,2.19,75.77,27.8,21.48,0.59
1988-07-18,21.46,0.01,60.99,31.97,20.09,0.68
1988-07-19,21.46,0,56.67,33.25,20.59,0.66
1988-07-20,10.3,0.17,63.45,32.31,20.86,0.66
1988-07-21,20.48,0.07,64.15,29.7,21.8,0.83
1988-07-22,17.5,0.02,57.99,31.18,21.26,0.76
1988-07-23,5.8,0.19,67.45,30.44,21.25,0.8
1988-07-24,14.47,0.02,65.13,29.36,20.99,0.9
1988-07-25,20.52,0,60.44,30.76,21.17,0.86
1988-07-26,16.16,0.01,55.63,33.41,20.64,0.7
1988-07-27,16.6,0.17,61.75,31.61,21.08,0.77
1988-07-28,11.05,0.72,62.2,27.87,20.33,0.84
1988-07-29,20.59,0.19,69.53,27.88,20.08,0.67
1988-07-30,19.08,2.69,69.41,30.68,20.3,0.51
1988-07-31,17.35,2.46,68.72,29.15,20.37,0.67
1988-08-01,14.44,0.03,61.66,30.71,19.84,0.65
1988-08-02,16.2,0.64,63.12,32.79,19.81,0.63
1988-08-03,8.03,3.92,79.83,27.36,21.11,0.58
1988-08-04,16.24,0.01,62.7,31.16,19.95,0.71
1988-08-05,12.64,6.03,72.27,31.05,20.46,0.71
1988-08-06,10.58,6.77,87.05,26.26,19.91,0.55
1988-08-07,11.81,0.04,77.81,26.96,21.21,0.52
1988-08-08,13.72,0.46,66.19,31.3,20.01,0.44
1988-08-09,16.42,4.25,70.1,32.37,20.33,0.3
1988-08-10,6.52,4.47,82.66,28.62,20.59,0.42
1988-08-11,16.52,1.26,74.98,29.84,20.75,0.24
1988-08-12,16.09,4.46,81.82,27.82,20.63,0.33
1988-08-13,22.32,1.43,72.2,31.06,19.64,0.43
1988-08-14,20.88,3.05,73.45,30.4,20.72,0.4
1988-08-15,21.82,5.81,70.79,31.93,21.22,0.35
1988-08-16,17.46,4.15,72.67,31.53,20.4,0.4
1988-08-17,20.95,1.9,66.21,32.65,21.2,0.46
1988-08-18,22.07,6.81,67.5,31.56,20.95,0.44
1988-08-19,20.16,7.87,68.36,31.59,19.94,0.36
1988-08-20,20.63,16.34,78.26,30.35,20.4,0.21
1988-08-21,13,6.26,81.73,28.71,21.21,0.3
1988-08-22,14.4,2.1,76.1,29.27,20.58,0.35
1988-08-23,21.53,6.61,73.82,30.5,19.81,0.33
1988-08-24,16.31,8.82,77.97,30.21,20.02,0.36
1988-08-25,17.14,10.37,94.78,25.24,21.15,0.42
1988-08-26,14.69,2.45,88.89,25.86,20.63,0.39
1988-08-27,4.64,1.52,82.39,28.73,20.17,0.55
1988-08-28,2.74,5.53,81.48,27.9,20.73,0.47
1988-08-29,20.34,0.97,72.78,29.65,20.08,0.24
1988-08-30,20.41,3.46,73.94,30.55,19.53,0.3
